,CATEGORY,TIME,MODALITY,SECTOR,SUBSECTOR
536,Car Crash,15:50,Driver Recklessness,1,2
537,Car Crash,20:51,Driver Recklessness,5,3
538,Car Crash,04:26,Driver Recklessness,3,3
539,Car Crash,17:32,Driver Recklessness,2,6
540,Car Crash,19:18,Driver Recklessness,2,1
541,People Falls,18:30,,3,3
542,Car Crash,18:14,Driver Recklessness,5,1
543,Car Crash,19:27,Driver Recklessness,2,1
544,"Flood",04:20,,1,1
545,"Fires",10:47,,1,6
546,Car Crash,13:32,Driver Recklessness,1,3
547,Car Crash,16:39,Speeding,4,1
548,Car Crash,18:16,Speeding,4,2
549,Car Crash,21:16,Speeding,5,3
550,Car Crash,21:34,Speeding,5,1
551,Car Cluelessness,16:24,Speeding,2,2
552,Car Crash,16:44,Driver Recklessness,4,2
553,Car Crash,16:47,Speeding,2,2
554,Car Crash,19:27,Driver Recklessness,2,3
555,Car Crash,19:13,Speeding,5,2
556,Car Cluelessness,08:25,Speeding,5,3
557,Car Cluelessness,09:02,Imprudencia del peatón,3,3
558,Car Crash,09:36,Driver Recklessness,3,3
559,Car Crash,09:48,Driver Recklessness,2,2
560,Car Crash,10:30,Speeding,4,2
561,Car Crash,11:43,Speeding,4,2
562,Car Crash,10:32,Driver Recklessness,1,4
563,Car Crash,11:01,Driver Recklessness,1,1
564,Car Crash,13:14,Driver Recklessness,1,2
565,Car Crash,13:26,Speeding,4,4
566,"Flood",16:10,,3,2
567,"Flood",16:14,,3,2
568,Car Crash,13:03,Driver Recklessness,3,3
569,Car Crash,11:45,Driver Recklessness,2,5
570,Car Crash,07:50,Driver Recklessness,1,3
571,Car Crash,07:12,Contempt traffic signal,4,2
573,Car Crash,10:18,Driver Recklessness,4,4
574,Car Crash,09:30,Driver Recklessness,2,4
575,Car Crash,13:14,Driver Recklessness,2,7
576,Car Crash,13:15,Driver Recklessness,3,3
577,People Falls,16:01,,1,3
578,Car Crash,08:11,Driver Recklessness,4,4
579,Car Crash,10:22,Driver Recklessness,5,1
580,Car Crash,10:55,Driver Recklessness,3,1
581,Car Crash,13:07,Speeding,1,3
582,Car Crash,14:12,Driver Recklessness,5,1
583,Car Crash,14:58,Driver Recklessness,4,4
584,Car Crash,08:07,Speeding,4,1
585,Car Crash,08:43,Speeding,5,4
586,Car Crash,08:10,Driver Recklessness,2,7
587,Car Crash,09:46,Speeding,4,1
588,Car Run Over People,09:27,Speeding,4,1
589,People Falls,09:54,,2,6
590,Car Crash,11:54,Driver Recklessness,1,4
591,People Falls,13:28,,4,3
592,Car Crash,14:38,Speeding,4,2
604,"Flood",16:13,,4,4
605,"Flood",17:58,,5,1
606,Car Cluelessness,21:41,Driver Recklessness,1,5
607,Car Crash,03:30,Speeding,2,2
608,Car Crash,10:40,Driver Recklessness,5,2
609,Car Crash,09:55,Speeding,2,7
610,Car Crash,11:28,Speeding,1,1
611,Car Crash,11:30,Speeding,1,2
612,Car Crash,13:07,Speeding,1,2
613,Car Crash,08:19,Driver Recklessness,4,1
614,"Fires",17:09,,3,1
615,Car Crash,08:16,Speeding,4,1
616,Car Crash,08:10,Speeding,4,2
617,Car Run Over People,13:20,Driver Recklessness,5,3
618,Car Crash,14:58,Driver Recklessness,1,2
619,Car Crash,10:32,Speeding,1,5
620,Car Crash,13:30,Driver Recklessness,4,1
621,Car Cluelessness,15:01,Speeding,5,4
622,Car Crash,08:07,Speeding,3,3
623,"Flood",08:08,,1,3
624,Car Crash,14:35,Speeding,4,1
625,Car Crash,14:38,Speeding,4,1
626,Car Crash,15:24,Speeding,5,2
627,Car Crash,18:49,Speeding,4,3
628,"Flood",19:03,,3,1
639,Car Crash,13:37,Driver Recklessness,3,3
640,Car Crash,10:18,Driver Recklessness,5,1
641,Car Crash,14:57,Driver Recklessness,1,3
642,Car Cluelessness,15:27,Driver Recklessness,4,4
643,"Flood",16:59,,3,1
644,"Fires",17:48,,2,6
645,Gas leak,19:32,,2,1
646,"Flood",01:16,,2,5
647,"Flood",01:56,,4,3
648,Car Crash,08:55,Driver Recklessness,1,1
649,Car Crash,14:36,Speeding,3,2
650,Car Crash,07:44,Driver Recklessness,5,2
651,Car Crash,09:04,Driver Recklessness,4,1
652,Car Crash,09:45,Driver Recklessness,3,2
653,People Falls,20:12,,4,1
654,Car Crash,09:14,Driver Recklessness,1,5
655,Car Crash,17:08,Driver Recklessness,1,5
656,Car Crash,19:09,Speeding,5,4
657,Gas leak,00:33,,1,6
658,"Flood",18:43,,3,1
659,Car Run Over People,21:06,Speeding,3,1
660,"Flood",08:40,,3,1
661,Car Crash,08:33,Driver Recklessness,1,4
662,Car Crash,09:32,Driver Recklessness,5,3
663,"Fires",09:47,,4,4
664,Car Crash,06:51,Driver Recklessness,2,2
665,Car Crash,00:32,Driver Recklessness,4,4
666,Car Crash,05:10,Ebriedad del conductor,3,1
667,Car Run Over People,16:31,Driver Recklessness,1,6
668,Car Cluelessness,20:00,Driver Recklessness,3,3
669,Car Crash,13:12,Driver Recklessness,2,2
670,Car Crash,16:52,Driver Recklessness,5,1
671,"Fires",08:09,,1,2
672,Car Crash,08:35,Speeding,4,1
673,Car Crash,14:12,Speeding,3,1
674,Car Run Over People,16:38,Driver Recklessness,2,2
675,Car Crash,16:56,Driver Recklessness,1,1
676,Car Crash,18:03,Driver Recklessness,2,2
677,Car Crash,21:16,Driver Recklessness,1,1
678,Car Crash,09:02,Speeding,1,1
679,Car Crash,13:44,Driver Recklessness,4,2
680,Car Crash,18:45,Driver Recklessness,3,2
681,Car Crash,14:45,Driver Recklessness,5,3
682,Car Crash,11:32,Falta de luces,1,1
683,Car Crash,11:10,Driver Recklessness,1,1
684,Car Cluelessness,23:44,Driver Recklessness,5,3
685,Car Run Over People,08:40,Speeding,4,1
686,Car Crash,23:09,Driver Recklessness,3,2
687,Car Crash,15:28,Driver Recklessness,3,1
713,Car Crash,22:26,Driver Recklessness,1,5
714,Car Crash,15:17,Driver Recklessness,4,3
715,Car Crash,14:54,Ebriedad del conductor,4,3
716,Car Crash,13:02,Speeding,3,2
717,Car Cluelessness,12:45,Driver Recklessness,1,6
718,Car Cluelessness,06:20,Driver Recklessness,3,2
719,Car Cluelessness,04:05,Driver Recklessness,1,5
720,Car Cluelessness,06:36,Driver Recklessness,2,5
722,Car Cluelessness,15:10,Speeding,2,7
723,Car Cluelessness,22:27,Driver Recklessness,2,2
724,Car Rollover,11:14,Driver Recklessness,2,6
725,"Fires",15:54,,2,5
726,"Fires",15:50,,2,5
727,"Flood",10:30,,5,1
728,Car Run Over People,22:16,Driver Recklessness,3,3
729,Car Run Over People,22:13,Imprudencia del peatón,3,3
730,Car Run Over People,22:25,Driver Recklessness,5,3
731,Car Run Over People,08:17,Speeding,4,2
732,Car Run Over People,22:34,Driver Recklessness,2,2
733,Car Run Over People,07:43,Driver Recklessness,3,1
734,Car Run Over People,14:47,Driver Recklessness,4,3
735,People Falls,19:14,,5,4
736,People Falls,13:36,,1,5
737,People Falls,18:47,,4,3
738,People Falls,17:16,,4,1
739,Gas leak,22:41,,3,2
